Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251749537$39,1574499609,1792055262,217555653,2
6251537638$1439,0,618629521,618629521,2
6251537638$1438,0,691890616,691890616,2
6251537638$1431,0,635393186,635393186,2
6251537638$1430,0,641937141,641937141,2
6251537638$1433,0,748292366,748292366,2
6251812952$548,2205332939,4909465606,2704132667,2
6251812952$549,2235282825,4805849045,2570566220,2
6251882848$794,3239662995,3439182258,199519263,2
6250505806$270,0,951372299,951372299,2
6250505806$272,0,3232407743,3232407743,2
6251749537$311,1574505922,1786394727,211888805,2
6251749537$310,1574505894,1791028481,216522587,2
6251749537$313,1574505971,1787489503,212983532,2
6251749537$312,1574505949,1785327472,210821523,2
6251749537$317,1574506059,1792055678,217549619,2
6251749537$316,1574506037,1790028208,215522171,2
6251803864$1030,2178755462,2848087438,669331976,2
6251803864$1031,2178755483,3306107797,1127352314,2
6251803864$1036,2178755556,2925952261,747196705,2
6251803864$1037,2178755570,2839263258,660507688,2
6251803864$1034,2178755528,3170741824,991986296,2
6251803864$1035,2178755542,2838464169,659708627,2
6251726235$1403,1442219156,3086469717,1644250561,2
6251726235$1402,1442219142,3146367348,1704148206,2
6251726235$1407,1442219212,3094342625,1652123413,2
6251726235$1406,1442219198,3077231989,1635012791,2
6251726235$1405,1442219184,3077976923,1635757739,2
6251726235$1404,1442219170,3086469565,1644250395,2
6251726235$164,1442200277,3072412939,1630212662,2
6251726235$166,1442200305,3118396283,1676195978,2
6251726235$167,1442200320,3139653629,1697453309,2
6251726235$160,1442200221,3139654361,1697454140,2
6251726235$162,1442200249,3145558872,1703358623,2
6251904229$886,3551562320,4039973273,488410953,2
6251904229$887,3551562334,4278008733,726446399,2
6251904229$884,3551562292,4055397635,503835343,2
6251904229$882,3551562264,4053806453,502244189,2
6251904229$883,3551562278,4233327687,681765409,2
6251904229$880,3551562236,4016302841,464740605,2
6251904229$881,3551562250,4031875286,480313036,2
6251904229$888,3551562348,4183261819,631699471,2
6251784940$1208,2140240130,2490518823,350278693,2
6251784940$1209,2140240147,2517838521,377598374,2
6251784940$1204,2140240066,2493716349,353476283,2
6251784940$1205,2140240081,2506433023,366192942,2
6251784940$1206,2140240095,2512623178,372383083,2
6251784940$1207,2140240109,2498556340,358316231,2
6251784940$1201,2140239965,2519875888,379635923,2
6251784940$1202,2140240028,2495461486,355221458,2
6251784940$1203,2140240052,2514427797,374187745,2
6250345153$288,0,4134281801,4134281801,0
6250345153$289,0,2832494129,2832494129,0
6251866953$829,2852997096,3042544563,189547467,2
6250345153$280,0,2793385114,2793385114,0
6251866953$826,2852997054,3011962862,158965808,2
6250345153$282,0,2732601502,2732601502,0
6250345153$283,0,2961526877,2961526877,0
6250345153$284,0,2913254430,2913254430,0
6251866953$822,2852996998,3024885462,171888464,2
6250345153$286,0,2769126252,2769126252,0
6251866953$820,2852996970,3027315603,174318633,2
6251722714$1049,1426236454,1840472437,414235983,2
6251722714$1048,1426236440,1831940650,405704210,2
6251726235$995,1442213027,3074754754,1632541727,2
6251726235$994,1442213013,3073956087,1631743074,2
6251726235$991,1442212971,3093623490,1651410519,2
6251726235$990,1442212957,3146368297,1704155340,2
6251726235$993,1442212999,3083779940,1641566941,2
6251803864$573,2178748217,2991932837,813184620,2
6251803864$572,2178748203,2944659371,765911168,2
6251803864$571,2178748189,2846163365,667415176,2
6251803864$570,2178748175,2836904972,658156797,2
6251726235$999,1442213084,3073134198,1630921114,2
6251726235$998,1442213069,3077976713,1635763644,2
6251803864$574,2178748231,2952558339,773810108,2
6251537638$1539,0,700889525,700889525,2
6251537638$1530,0,600818656,600818656,2
6251537638$1533,0,608963668,608963668,2
6251537638$1534,0,721387883,721387883,2
6251537638$1537,0,791133909,791133909,2
6251540546$25,0,1839611828,1839611828,2
6251540546$24,0,1858273161,1858273161,2
6251540546$27,0,1681590275,1681590275,2
6251540546$21,0,1747243939,1747243939,2
6251540546$20,0,1686707081,1686707081,2
